model,technique,task,metric,value
RF,sb_anon_template6,avgpcon,R2 Score,-0.0516
RF,sb_anon_template6,duration,MAE,515.1813
RF,sb_anon_template6,duration,R2 Score,-1.2706
RF,sb_anon_template6,ec,accuracy,0.8
RF,sb_anon_template6,ec,precision,0.47
RF,sb_anon_template6,ec,recall,0.5
RF,sb_anon_template6,ec,f1-score,0.45
RF,sb_anon_template6,pclass,accuracy,0.74
RF,sb_anon_template6,pclass,precision,0.61
RF,sb_anon_template6,pclass,recall,0.51
RF,sb_anon_template6,pclass,f1-score,0.44
RF,sb,avgpcon,MAE,39.8253
RF,sb,avgpcon,R2 Score,-0.1268
RF,sb,duration,MAE,423.8204
RF,sb,duration,R2 Score,-0.6445
RF,sb,ec,accuracy,0.81
RF,sb,ec,precision,0.8
RF,sb,ec,recall,0.5
RF,sb,ec,f1-score,0.45
RF,sb,pclass,accuracy,0.75
RF,sb,pclass,precision,0.81
RF,sb,pclass,recall,0.51
RF,sb,pclass,f1-score,0.46
XGB,hpcb-multitask_anon_template1,avgpcon,MAE,28.9171
XGB,hpcb-multitask_anon_template1,avgpcon,R2 Score,
XGB,hpcb-multitask_anon_template1,duration,MAE,251.8398
XGB,hpcb-multitask_anon_template1,duration,R2 Score,
XGB,hpcb-multitask_anon_template1,ec,accuracy,0.89
XGB,hpcb-multitask_anon_template1,ec,precision,0.88
XGB,hpcb-multitask_anon_template1,ec,recall,0.75
XGB,hpcb-multitask_anon_template1,ec,f1-score,0.79
XGB,hpcb-multitask_anon_template1,pclass,accuracy,0.76
XGB,hpcb-multitask_anon_template1,pclass,precision,0.67
XGB,hpcb-multitask_anon_template1,pclass,recall,0.63
XGB,hpcb-multitask_anon_template1,pclass,f1-score,0.64
XGB,int_anon,avgpcon,MAE,48.7113
XGB,int_anon,avgpcon,R2 Score,-0.4273
XGB,int_anon,duration,MAE,735.55
XGB,int_anon,duration,R2 Score,-4.3356
XGB,int_anon,ec,accuracy,0.8
XGB,int_anon,ec,precision,0.68
XGB,int_anon,ec,recall,0.7
XGB,int_anon,ec,f1-score,0.69
XGB,int_anon,pclass,accuracy,0.75
XGB,int_anon,pclass,precision,0.66
XGB,int_anon,pclass,recall,0.6
XGB,int_anon,pclass,f1-score,0.6
XGB,sb_anon,avgpcon,MAE,34.0035
XGB,sb_anon,avgpcon,R2 Score,0.0253
XGB,sb_anon,duration,MAE,284.6041
XGB,sb_anon,duration,R2 Score,-0.1397
XGB,sb_anon,ec,accuracy,0.89
XGB,sb_anon,ec,precision,0.9
XGB,sb_anon,ec,recall,0.75
XGB,sb_anon,ec,f1-score,0.8
XGB,sb_anon,pclass,accuracy,0.76
XGB,sb_anon,pclass,precision,0.7
XGB,sb_anon,pclass,recall,0.58
XGB,sb_anon,pclass,f1-score,0.58
XGB,sb_anon_template1,avgpcon,MAE,34.7678
XGB,sb_anon_template1,avgpcon,R2 Score,0.0191
XGB,sb_anon_template1,duration,MAE,537.4713
XGB,sb_anon_template1,duration,R2 Score,-1.6336
XGB,sb_anon_template1,ec,accuracy,0.84
XGB,sb_anon_template1,ec,precision,0.79
XGB,sb_anon_template1,ec,recall,0.65
XGB,sb_anon_template1,ec,f1-score,0.68
XGB,sb_anon_template1,pclass,accuracy,0.75
XGB,sb_anon_template1,pclass,precision,0.7
XGB,sb_anon_template1,pclass,recall,0.54
XGB,sb_anon_template1,pclass,f1-score,0.52
XGB,sb_anon_template2,avgpcon,MAE,30.2259
XGB,sb_anon_template2,avgpcon,R2 Score,0.1685
XGB,sb_anon_template2,duration,MAE,393.3581
XGB,sb_anon_template2,duration,R2 Score,-0.6643
XGB,sb_anon_template2,ec,accuracy,0.88
XGB,sb_anon_template2,ec,precision,0.85
